"Id","SalePrice"
1461,120910.99748066
1462,156021.147084718
1463,186576.404635917
1464,201756.168819878
1465,194415.896310144
1466,170911.820454363
1467,181504.724602188
1468,164995.026493851
1469,188155.466106838
1470,122975.342623017
1471,181985.939731773
1472,97138.7539135389
1473,96549.0273984256
1474,144918.979394445
1475,111529.287365533
1476,363253.031092718
1477,253714.861041184
1478,301733.87257292
1479,302654.084000388
1480,544290.888703682
1481,329583.292706792
1482,210621.058915854
1483,175371.007850708
1484,164061.158840426
1485,179507.707340352
1486,192025.438795114
1487,340433.504573552
1488,233255.140112391
1489,193031.217730847
1490,243806.223372739
1491,191807.606014826
1492,97818.4418653258
1493,178140.461215898
1494,278665.166645228
1495,283063.25598044
1496,242402.136714757
1497,182166.168660396
1498,171391.104772841
1499,162252.549524383
1500,155863.556705482
1501,176594.297083188
1502,156670.26947801
1503,284763.119667647
1504,240422.643127352
1505,227583.011901279
1506,188767.116810977
1507,252560.298132225
1508,204779.587375414
1509,161674.840712304
1510,142187.955325425
1511,144557.368872257
1512,171915.990514403
1513,137172.249349387
1514,149295.161951539
1515,210781.106567124
1516,145809.885055532
1517,173125.614535937
1518,130483.767099969
1519,212912.171144375
1520,133099.523616153
1521,135483.636740603
1522,165262.750433008
1523,117026.342484768
1524,117876.166287448
1525,123200.794186325
1526,109455.004864919
1527,113693.550720407
1528,138124.290197676
1529,153001.732332519
1530,200582.319921704
1531,108678.695377958
1532,91266.8025920745
1533,151275.779713702
1534,128400.766883008
1535,144603.10750474
1536,105392.473693956
1537,68353.7886023183
1538,141893.122288541
1539,175671.875731991
1540,103567.386072335
1541,133713.723804939
1542,157450.750499577
1543,192581.896662419
1544,92009.5452520904
1545,118064.650380954
1546,136795.62896963
1547,135543.2433795
1548,136713.625881107
1549,128403.765997998
1550,136300.245525525
1551,105150.259147392
1552,135057.298271482
1553,133371.388651333
1554,121538.460577184
1555,161064.157715038
1556,83142.6974848291
1557,116794.385089328
1558,116819.640707359
1559,60374.7926037351
1560,121965.397354229
1561,128080.120945991
1562,132509.671217758
1563,117226.159293218
1564,166583.771788088
1565,147221.489182261
1566,239581.076732048
1567,88462.2089102597
1568,231213.772473572
